FIPS,CD,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Libertarian,Green,Constitution,CA Democratic,CA Republican,Unity,Write-ins,Independent American,Conservative,Working Families,Working Class,State1,State2,State3,State4,State5,State6,State7,State8
fips,cd,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22
1001,1001_2,Autauga,County,17649,3880,13329,0,427,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
1003,1003_1,Baldwin,County,67065,0,59106,0,7729,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0
1005,1005_2,Barbour,County,6494,2616,3810,0,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1007,1007_6,Bibb,County,5260,0,4834,0,402,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
1009,1009_6,Blount,County,16098,0,15245,0,833,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1011,1011_2,Bullock,County,2640,1821,797,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,1013_2,Butler,County,5869,2059,3734,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1015,1015_3,Calhoun,County,29982,6910,21805,804,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1017,1017_3,Chambers,County,9090,2863,5932,153,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,1019_3,Cherokee,County,7822,680,6952,103,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,1021_3,Chilton,County,3788,273,3415,43,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,1021_6,Chilton,County,7697,0,7212,0,468,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
1023,1023_7,Choctaw,County,5148,2080,2964,0,103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1025,1025_7,Clarke,County,8955,3775,5069,0,109,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1027,1027_3,Clay,County,4233,482,3638,66,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,1029_3,Cleburne,County,4604,285,4178,85,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,1031_2,Coffee,County,13933,2365,11309,0,253,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1033,1033_4,Colbert,County,17222,4083,12766,0,367,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1035,1035_2,Conecuh,County,4416,1880,2502,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1037,1037_3,Coosa,County,3808,983,2699,73,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,1039_2,Covington,County,11233,1327,9774,0,130,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1041,1041_2,Crenshaw,County,4539,879,3603,0,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1043,1043_4,Cullman,County,26128,1839,23615,0,669,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
1045,1045_2,Dale,County,11987,2389,9363,0,229,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1047,1047_7,Dallas,County,11307,7681,3483,0,142,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
